Provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,54399,1416,3714,5130
Sumatera Utara,85989,3053,10714,13767
Sumatera Barat,46053,2085,5412,7497
Riau,45523,2945,7867,10812
Jambi,28265,999,3184,4183
Sumatera Selatan,65668,2037,6614,8651
Bengkulu,15382,746,2106,2852
Lampung,69435,2387,8134,10521
Kepulauan Bangka Belitung,10118,574,1719,2293
Kepulauan Riau,12348,...,...,...
DKI Jakarta,58764,3666,10497,14163
Jawa Barat,438384,22050,65257,87307
Jawa Tengah,320677,20107,55450,75557
DI Yogyakarta,24387,1591,4266,5857
Jawa Timur,339797,26790,62165,88955
Banten,95251,2995,10242,13237
Bali,3410,...,...,...
Nusa Tenggara Barat,43959,1781,5832,7613
Nusa Tenggara Timur,3661,166,270,436
Kalimantan Barat,25660,934,3580,4514
Kalimantan Tengah,15902,726,2099,2825
Kalimantan Selatan,30789,1598,5780,7378
Kalimantan Timur,24979,1970,5779,7749
Kalimantan Utara,3807,...,...,...
Sulawesi Utara,8054,410,1196,1606
Sulawesi Tengah,20517,809,2281,3090
Sulawesi Selatan,65997,3152,11037,14189
Sulawesi Tenggara,18517,698,2013,2711
Gorontalo,10213,485,1472,1957
Sulawesi Barat,9685,...,...,...
Maluku,6698,137,375,512
Maluku Utara,6830,393,733,1126
Papua Barat,2569,...,...,...
Papua,4484,509,1205,1714
Indonesia,2016171,107209,300993,408202
,,,,
Catatan,,,,
<sup>1 </sup>Termasuk bedolan (nikah di luar KUA)/<i>Including registration conducted outside the Religious Affairs Office (KUA)</i><sup>2 </sup>Hanya untuk yang beragama Islam/<i>Applies only for moslem</i>,,,,
