Provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,33979,1575,5369,6944
Sumatera Utara,70630,3523,14746,18269
Sumatera Barat,38355,2294,6972,9266
Riau,40301,2437,7704,10141
Jambi,23037,1157,3932,5089
Sumatera Selatan,51346,2569,8881,11450
Bengkulu,13538,932,3173,4105
Lampung,54257,3172,12612,15784
Kepulauan Bangka Belitung,8559,578,1950,2528
Kepulauan Riau,11436,992,2960,3952
DKI Jakarta,43363,4293,12970,17263
Jawa Barat,317715,24610,77670,102280
Jawa Tengah,256144,18327,58040,76367
DI Yogyakarta,20123,1390,4422,5812
Jawa Timur,285189,24113,64100,88213
Banten,68185,3377,12781,16158
Bali,3056,361,974,1335
Nusa Tenggara Barat,27850,1724,6774,8498
Nusa Tenggara Timur,2928,210,411,621
Kalimantan Barat,21533,1161,4607,5768
Kalimantan Tengah,13702,867,2890,3757
Kalimantan Selatan,25579,1546,5727,7273
Kalimantan Timur,22449,2084,6157,8241
Kalimantan Utara,3088,299,919,1218
Sulawesi Utara,6246,478,1675,2153
Sulawesi Tengah,14848,968,3155,4123
Sulawesi Selatan,53216,3129,11483,14612
Sulawesi Tenggara,15355,990,3323,4313
Gorontalo,8592,514,1916,2430
Sulawesi Barat,6548,318,986,1304
Maluku,5043,266,685,951
Maluku Utara,5271,414,933,1347
Papua Barat,1113,172,464,636
Papua Barat Daya,1162,...,...,...
Papua,1752,411,1042,1453
Papua Selatan,871,...,...,...
Papua Tengah,896,...,...,...
Papua Pegunungan,–,...,...,...
Indonesia,1577255,111251,352403,463654
,,,,
Catatan,,,,
"<sup>1</sup> Data perceraian yang telah diputus oleh Pengadilan tetapi akta cerainya belum tercetak/<i>Divorce data that has been ruled but the divorce certificate has not been printed</i><sup>2</sup> Termasuk bedolan (nikah di luar KUA)/<i>Including registration conducted outside the Religious Affairs Office (KUA), Divorce data that has been ruled but the divorce certificate has not been printed</i><sup>3</sup> Hanya untuk yang beragama Islam/<i>Applies only for moslem</i>Data Provinsi Papua Barat mencakup Provinsi Papua Barat Daya<i>/Data of Papua Barat Province included Papua Barat Daya Province</i>Data Provinsi Papua mencakup Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan<i>/Data of Papua Province included Papua Selatan, Papua Tengah, and Papua Pegunungan Provinces</i>",,,,
