Provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,39572,1879,5917,7796
Sumatera Utara,80004,3911,16118,20029
Sumatera Barat,42483,2657,7621,10278
Riau,44167,3700,11229,14929
Jambi,25624,1329,4136,5465
Sumatera Selatan,57888,2869,9632,12501
Bengkulu,14697,1075,3151,4226
Lampung,58766,3586,13562,17148
Kepulauan Bangka Belitung,9204,759,2272,3031
Kepulauan Riau,11905,...,...,...
DKI Jakarta,47225,4943,14965,19908
Jawa Barat,336912,27907,85736,113643
Jawa Tengah,270304,21150,64262,85412
DI Yogyakarta,21448,1570,4537,6107
Jawa Timur,305458,29150,72915,102065
Banten,74616,4006,14695,18701
Bali,3047,...,...,...
Nusa Tenggara Barat,32939,2373,8373,10746
Nusa Tenggara Timur,3388,195,408,603
Kalimantan Barat,24266,1379,4257,5636
Kalimantan Tengah,14548,1015,2987,4002
Kalimantan Selatan,27071,1773,6452,8225
Kalimantan Timur,22757,2550,7641,10191
Kalimantan Utara,3615,...,...,...
Sulawesi Utara,7071,485,1696,2181
Sulawesi Tengah,16571,1012,3448,4460
Sulawesi Selatan,57789,3854,13504,17358
Sulawesi Tenggara,16616,1010,3349,4359
Gorontalo,9500,535,2199,2734
Sulawesi Barat,7791,...,...,...
Maluku,5648,265,682,947
Maluku Utara,6080,432,1056,1488
Papua Barat,2499,...,...,...
Papua,3879,617,1558,2175
Indonesia,1705348,127986,388358,516344
,,,,
Catatan,,,,
1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem3Data perceraian yang telah diputus oleh Pengadilan tetapi akta cerainya belum tercetak /<i>Divorce data that has been ruled but the divorce certificate has not been printed</i>4Data cerai Kepulauan Riau 2022 masih bergabung dengan Provinsi Riau/Data of divorces Kepulauan Riau 2022 were included in Riau Province5Data cerai Bali 2022 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces Bali 2022 were included in Nusa Tenggara Barat Province6Data cerai Kalimantan Utara 2022 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces Kalimantan Utara 2022 were included in Kalimantan Timur Province7Data cerai Sulawesi Barat 2022 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2022 were included in Sulawesi Selatan Province8Data cerai Papua Barat 022 masih bergabung dengan Provinsi Papua/Data of divorces 2022 were included in Papua Province,,,,
