nama_provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai,tahun,indeks_pembangunan_manusia,indeks_tpt,persentase_penduduk_miskin
Nusa Tenggara Barat,34657.0,1275,3580,4855,2020,68.25,4.22,13.97
Nusa Tenggara Timur,3533.0,155,296,451,2020,65.19,4.28,20.9
Kalimantan Barat,23025.0,846,3403,4249,2020,67.66,5.81,7.17
Kalimantan Tengah,13941.0,405,1190,1595,2020,71.05,4.58,4.82
Kalimantan Selatan,27401.0,824,2586,3410,2020,70.91,4.74,4.38
Kalimantan Timur,25030.0,1775,5237,7012,2020,76.24,6.87,6.1
Kalimantan Utara,4782.0,...,...,...,2020,70.63,4.97,6.8
Sulawesi Utara,7369.0,341,957,1298,2020,72.93,7.37,7.62
Sulawesi Tengah,18236.0,425,1185,1610,2020,69.55,3.77,12.92
Sulawesi Selatan,61904.0,2991,9706,12697,2020,71.93,6.31,8.72
Sulawesi Tenggara,16058.0,699,2069,2768,2020,71.45,4.58,11.0
Gorontalo,10139.0,318,1134,1452,2020,68.68,4.28,15.22
Sulawesi Barat,8366.0,...,...,...,2020,66.11,3.32,10.87
Maluku,6571.0,71,154,225,2020,69.49,7.57,17.44
Maluku Utara,6981.0,136,340,476,2020,68.49,5.15,6.78
Papua Barat,1984.0,...,...,...,2020,65.09,6.8,21.37
Papua,4035.0,429,1095,1524,2020,60.44,4.28,26.64
Aceh,40931.0,1469,4973,6442,2021,72.18,6.3,15.33
Sumatera Utara,84202.0,3553,13717,17270,2021,72.0,6.33,9.01
Sumatera Barat,45073.0,2372,6999,9371,2021,72.65,6.52,6.63
Riau,45046.0,3198,9524,12722,2021,72.94,4.42,7.12
Jambi,25837.0,1147,3853,5000,2021,71.63,5.09,8.09
Sumatera Selatan,59987.0,2473,8719,11192,2021,70.24,4.98,12.84
Bengkulu,15064.0,912,2933,3845,2021,71.64,3.65,15.22
Lampung,59587.0,3119,11914,15033,2021,69.9,4.69,12.62
Kepulauan Bangka Belitung,8711.0,577,1900,2477,2021,71.69,5.03,4.9
Kepulauan Riau,11541.0,–,–,–,2021,75.79,9.91,6.12
Dki Jakarta,47724.0,3959,12058,16017,2021,81.11,8.5,4.72
Jawa Barat,346484.0,23971,74117,98088,2021,72.45,9.82,8.4
Jawa Tengah,277060.0,18802,56707,75509,2021,72.16,5.95,11.79
Di Yogyakarta,21983.0,1467,4166,5633,2021,80.22,4.56,12.8
Jawa Timur,298543.0,25113,63122,88235,2021,72.14,5.74,11.4
Banten,77058.0,3323,12345,15668,2021,72.72,8.98,6.66
Bali,2912.0,–,–,–,2021,75.69,5.37,4.53
Nusa Tenggara Barat,35651.0,2040,6945,8985,2021,68.65,3.01,14.14
Nusa Tenggara Timur,3424.0,135,301,436,2021,65.28,3.77,20.99
Kalimantan Barat,23586.0,1126,4099,5225,2021,67.9,5.82,7.15
Kalimantan Tengah,14136.0,810,2674,3484,2021,71.25,4.53,5.16
Kalimantan Selatan,27417.0,1543,6039,7582,2021,71.28,4.95,4.83
Kalimantan Timur,22386.0,1996,6005,8001,2021,76.88,6.83,6.54
Kalimantan Utara,3547.0,–,–,–,2021,71.19,4.58,7.36
Sulawesi Utara,7533.0,440,1444,1884,2021,73.3,7.06,7.77
Sulawesi Tengah,16189.0,940,3019,3959,2021,69.79,3.75,13.0
Sulawesi Selatan,64396.0,3406,12169,15575,2021,72.24,5.72,8.78
Sulawesi Tenggara,18061.0,868,2954,3822,2021,71.66,3.92,11.66
Gorontalo,9987.0,524,1894,2418,2021,69.0,3.01,15.61
Sulawesi Barat,8817.0,–,–,–,2021,66.36,3.13,11.29
Maluku,5933.0,212,547,759,2021,69.71,6.93,17.87
Maluku Utara,6862.0,391,882,1273,2021,68.76,4.71,6.89
Papua Barat,2247.0,–,–,–,2021,65.26,5.84,21.84
Papua,4134.0,514,1324,1838,2021,60.62,3.33,26.86
Aceh,39572.0,1879,5917,7796,2022,72.8,6.17,14.64
Sumatera Utara,80004.0,3911,16118,20029,2022,72.71,6.16,8.42
Sumatera Barat,42483.0,2657,7621,10278,2022,73.26,6.28,5.92
Riau,44167.0,3700,11229,14929,2022,73.52,4.37,6.78
Jambi,25624.0,1329,4136,5465,2022,72.14,4.59,7.62
Sumatera Selatan,57888.0,2869,9632,12501,2022,70.9,4.63,11.9
Bengkulu,14697.0,1075,3151,4226,2022,72.16,3.59,14.62
Lampung,58766.0,3586,13562,17148,2022,70.45,4.52,11.57
Kepulauan Bangka Belitung,9204.0,759,2272,3031,2022,72.24,4.77,4.45
Kepulauan Riau,11905.0,...,...,...,2022,76.46,8.23,6.24
Dki Jakarta,47225.0,4943,14965,19908,2022,81.65,7.18,4.69
Jawa Barat,336912.0,27907,85736,113643,2022,73.12,8.31,8.06
