Provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,40931,1469,4973,6442
Sumatera Utara,84202,3553,13717,17270
Sumatera Barat,45073,2372,6999,9371
Riau,45046,3198,9524,12722
Jambi,25837,1147,3853,5000
Sumatera Selatan,59987,2473,8719,11192
Bengkulu,15064,912,2933,3845
Lampung,59587,3119,11914,15033
Kepulauan Bangka Belitung,8711,577,1900,2477
Kepulauan Riau,11541,–,–,–
DKI Jakarta,47724,3959,12058,16017
Jawa Barat,346484,23971,74117,98088
Jawa Tengah,277060,18802,56707,75509
DI Yogyakarta,21983,1467,4166,5633
Jawa Timur,298543,25113,63122,88235
Banten,77058,3323,12345,15668
Bali,2912,–,–,–
Nusa Tenggara Barat,35651,2040,6945,8985
Nusa Tenggara Timur,3424,135,301,436
Kalimantan Barat,23586,1126,4099,5225
Kalimantan Tengah,14136,810,2674,3484
Kalimantan Selatan,27417,1543,6039,7582
Kalimantan Timur,22386,1996,6005,8001
Kalimantan Utara,3547,–,–,–
Sulawesi Utara,7533,440,1444,1884
Sulawesi Tengah,16189,940,3019,3959
Sulawesi Selatan,64396,3406,12169,15575
Sulawesi Tenggara,18061,868,2954,3822
Gorontalo,9987,524,1894,2418
Sulawesi Barat,8817,–,–,–
Maluku,5933,212,547,759
Maluku Utara,6862,391,882,1273
Papua Barat,2247,–,–,–
Papua,4134,514,1324,1838
Indonesia,1742049,110400,337343,447743
,,,,
Catatan,,,,
1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2021 masih bergabung dengan Provinsi Riau/Data of divorces 2021 were included in Riau Province6Data cerai 2021 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2021 were included in Nusa Tenggara Barat Province7Data cerai 2021 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2021 were included in Kalimantan Timur Province8Data cerai 2021 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2021 were included in Sulawesi Selatan Province9Data cerai 2021 masih bergabung dengan Provinsi Papua/Data of divorces 2021 were included in Papua Province,,,,
